formula,image
D _ { f _ { A } } = \sum _ { I } { \frac { \partial f } { \partial \phi _ { A } ^ { ( I ) } } } D _ { I } .,67327c72dc.png
\operatorname { l o g } f ( \hat { y } + \nu ) - \operatorname { l o g } f ( \hat { y } - \nu ) = 2 \pi i \protect,7910e30edf.png
U = e ^ { \phi } \left( \Lambda + \frac { q ^ { 2 } } { s ^ { 6 } } - \frac { 6 k } { s ^ { 2 } } \right) .,5c5347dee3.png
"\alpha = ( N - 2 s ) \operatorname { l o g } \Big ( \frac { \Lambda _ { \mathrm { h i g h } } } { \mu } \Big ) \, .",3c85458fd0.png
"B _ { \mu } \rightarrow ( B _ { \mu } , \phi ) ; ~ ~ ~ ~ ~ A _ { \mu } \rightarrow ( A _ { \mu } , \lambda )",379fea64fe.png
q ( t + { \Delta t } ) = - q ( t - { \Delta t } ) - \frac { 2 } { \omega ^ { 2 } } \ddot { q } ( t ) \; .,2d287d7432.png
"1 = ( \slash p - m ) S ( p ) - i \int \frac { d ^ { 4 } k } { ( 2 \pi ) ^ { 4 } } \gamma _ { \mu } D ^ { \mu \nu } ( k ) \Lambda _ { \nu } ( p + k , p ) ,",44e9a13b94.png
"\left. \frac { \mathrm { d } Q _ { 5 } } { \mathrm { d } t } \right| _ { \mathrm { \, c l a s s i c a l } } = 0 \, .",520981d1c7.png
"L _ { 0 j } \left[ X , P \right] = \left( x _ { 0 } + X _ { 0 } \right) P _ { j } - X _ { j } P _ { 0 } ,",4cc8c45f4c.png
\mathcal { A } ( W ) = \mathcal { A } ( \mathbf { R } _ { + } ^ { > } ),5ad8c4e6f7.png
H _ { c a n } = P ^ { M } \dot { X } _ { M } + \Pi ^ { ( U ) a b } \dot { U } _ { a b } - L,713e115730.png
"\hspace { 2 c m } I [ \beta , r _ { B } , \bar { \gamma } ( \bar { r } _ { + } ) , \bar { r } ( \bar { r } _ { + } ) ] + W _ { 1 } ^ { C S } [ \beta , r _ { B } , \bar { \gamma } ( \bar { r } _ { + } ) , \bar { r } ( \bar { r } _ { + } ) ] ~ ~ ~ .",9208e56025.png
\partial _ { r } ^ { 2 } \phi + \left( d - 1 \right) \frac { \partial _ { r } a } { a } \partial _ { r } \phi + \frac { b q ^ { 2 } } { 2 a ^ { 2 d - 2 } } e ^ { - b \phi } = 0 .,179343f674.png
{ \bf I } = \int d { \sigma } _ { \gamma } \; | \gamma > < \gamma | = | 0 > < 0 | + \int d ^ { \nu - 1 } q ; a ^ { + } \left( \vec { q } \right) | 0 > < 0 | a \left( \vec { q } \right) +,259e7c38b9.png
"V _ { j _ { 1 } , m _ { 1 } } ( w ) \, V _ { j _ { 2 } , m _ { 2 } } ( z ) = e ^ { \frac { 2 \pi i } { p } j _ { 1 } j _ { 2 } } \, V _ { j _ { 2 } , m _ { 2 } } ( z ) \, V _ { j _ { 1 } , m _ { 1 } } ( w ) \, , \qquad \Re z > \Re w \, .",13b8dbb35e.png
\left( \frac { 1 } { 2 } j A _ { \mu } ^ { a } A ^ { \mu a } \; + \frac { \varsigma } { 2 } j ^ { 2 } \right) =,a031560937.png
"( 4 3 2 \, z - 1 ) ^ { 2 } - 8 6 4 ^ { 2 } \, y z ^ { 2 } = 0 .",2a85bac3b5.png
"y _ { c } ^ { \prime } = \stackrel { - } { ( + ) } \frac { { r _ { 0 } } ^ { p - 1 } } { \sqrt { r ^ { 2 p - 2 } - { r _ { 0 } } ^ { 2 p - 2 } } } , \; \; \; \sqrt { 1 + { y _ { c } ^ { \prime } } ^ { 2 } } = \stackrel { - } { ( + ) } \frac { r ^ { p - 1 } } { \sqrt { r ^ { 2 p - 2 } - r _ { 0 } ^ { 2 p - 2 } } }",69e6268395.png
"Z = \int [ D e _ { i } ^ { a } ] [ D \pi _ { c } ^ { j } ] \ d e t M _ { \alpha \beta } \ \delta ( H _ { \perp } ) \delta ( H _ { i } ) \delta ( J _ { a b } ) \ e x p \frac { i } { \hbar } S ,",73034aa4f1.png
S = - \frac { T } { 2 } \int d \tau d \sigma \sqrt { - h } h ^ { a b } g _ { \mu \nu } \partial _ { a } X ^ { \mu } \partial _ { b } X ^ { \nu } .,50a06e177e.png
"\{ x , ( y , z ) \} \longrightarrow ( x + y , x + z ) = ( d , d ^ { ' } ) \ \ ,",7e143a9c28.png
\gamma _ { S _ { 1 } } \gamma _ { S _ { 2 } } = \epsilon \gamma _ { S _ { 2 } } \gamma _ { S _ { 1 } } ~ .,538eb85db0.png
{ \cal N } = h f ^ { - 1 } ~ ~ \rightarrow ~ ~ { \cal N } _ { \Lambda \Sigma | \Gamma \Delta } = h _ { \Lambda \Sigma | A B } f _ { ~ ~ ~ ~ ~ \Gamma \Delta } ^ { - 1 ~ A B } .,11bce9015c.png
"\langle - \triangle \rangle _ { \Psi } \; = \; \langle V \rangle _ { \Psi } \ ,",2c29bac3c3.png
"[ J _ { A B } , J _ { C D } ] = \eta _ { A D } J _ { B C } + \eta _ { B C } J _ { A D } - \eta _ { A C } J _ { B D } - \eta _ { B D } J _ { A C } .",6d6e1b84e4.png
"s \equiv { \frac { S } { V } } = ( n - 1 ) { \frac { \kappa a _ { H } ^ { n } } { 4 G a ^ { n } } } ,",667cca90f5.png
"M = ( m _ { 0 } , m _ { 8 } , m _ { 3 } , m _ { 1 } ) = \biggl ( 0 , { \frac { n _ { 8 } } { \sqrt { 3 } g } } , { \frac { n _ { 3 } } { 2 g } } , { \frac { - { 1 } } { 2 g } } \sqrt { \frac { 5 } { 3 } } n _ { 1 } \biggr )",34be52c66e.png
H = \frac { p ^ { 2 } } { 2 m } + \sum _ { k = 1 } ^ { n } \omega _ { k } a _ { k } ^ { * } a _ { k },4152017e07.png
"c _ { A _ { 1 } , A _ { 2 } , . . . A _ { N } } ( t ) \, = \, < \, \Theta _ { A _ { 1 } } ^ { ( 0 ) } , . . . . , \, \Theta _ { A _ { N } } ^ { ( 0 ) } \, \operatorname { e x p } \left[ \, \sum _ { A } \, t _ { A } \, \int \, \Theta _ { A } ^ { ( 2 ) } \, \right] \, >",1ad56902e4.png
G ( y ) : = \sqrt { 6 / a } \left( y - y \Sigma \left( \mu ^ { 2 } y \right) \right),6ceabc72a1.png
"\begin{array} { l l } { d s ^ { 2 } = } & { \frac { 1 } { \Lambda } [ - d t ^ { 2 } + e ^ { 2 t } ( d \xi ^ { 2 } + d \eta ^ { 2 } ) ] \nonumber } \\ { * } & { \left\{ \begin{array} { l } { \xi \equiv x + m _ { 1 } y } \\ { \eta \equiv m _ { 2 } y , } \\ \end{array} \right. } \\ \end{array}",7f9f5dc9f4.png
( \alpha ^ { \prime } ) ^ { 2 } g ^ { i k } g ^ { j l } B _ { i j } B _ { k l } \simeq { \frac { 1 } { \epsilon } } > > 1,2984e3195f.png
"\hat { R } ^ { a b } { } _ { i k } = < O _ { i } { } ^ { b } , T ^ { a } { } _ { k } > .",58297840da.png
"I = \int d t \, d \eta \, ( \mathrm { s d e t } \, E ) { \cal L } ( { \cal D } _ { A } z , { \cal D } _ { A } \omega , { \cal D } _ { A } \lambda ) \quad ,",6c57545474.png
"\varphi ^ { [ N ] } = \sum _ { \sigma \in S _ { N } } \Phi _ { \sigma } , \qquad \varphi ^ { [ 1 ^ { N } ] } = \sum _ { \sigma \in S _ { N } } ( - 1 ) ^ { \sigma } \Phi _ { \sigma } ,",7e6f19c16d.png
"t _ { \lambda \mu \nu } ^ { A V V } = - 4 \left\{ - f _ { \lambda \mu \nu } + n _ { \lambda \mu \nu } + m _ { \lambda \mu \nu } + p _ { \lambda \mu \nu } \right\} ,",5c64adc6f5.png
* V _ { \it 3 } ~ = ~ * \hat { T } _ { \it 3 } = \pm i g f ( r ) \tilde { T } _ { \it 3 } \wedge \chi _ { \it 4 } \,6d46069e21.png
< \phi ^ { a } ( x ) \phi ^ { b } ( y ) > = 2 \delta ^ { a b } [ \partial _ { i } ^ { x } \partial _ { i } ^ { y } G ^ { - 1 } ( x - y ) ] ^ { - 1 } | _ { p ^ { 2 } > M ^ { 2 } },7e1009adf4.png
"G ( x _ { 1 } , x _ { 2 } ; y _ { 1 } , y _ { 2 } ) _ { \stackrel { { \displaystyle = } } { T \rightarrow \infty } } \eta \sum _ { n } \Phi _ { n } ( x _ { 1 } , x _ { 2 } ) \overline { \Phi } _ { n } ( y _ { 1 } , y _ { 2 } ) \ ,",1e082dd864.png
"P _ { i } \leftrightarrow - P _ { i } \ , P _ { 0 } \leftrightarrow - P _ { 0 }",45842dd46a.png
"{ \cal D } ^ { 2 } V = \bar { f } , \ \overline { { \cal D } } ^ { 2 } V = f",4bd3f0d7ab.png
\frac { Q } { \lambda _ { 3 } } = \sum _ { 1 \le i < j \le 3 } ( \operatorname { s i n } ( y _ { i } + y _ { j } ) ) ^ { - 2 },12cb2f1e25.png
"\operatorname { c o s } \Theta _ { ( 3 , 1 ) } = - \frac { i } { \sqrt { 3 } \sqrt { 4 \alpha + 1 } } , \hspace { 1 c m } \operatorname { s i n } \Theta _ { ( 3 , 1 ) } = \frac { 2 \sqrt { 3 \alpha + 1 } } { \sqrt { 3 } \sqrt { 4 \alpha + 1 } } ,",2eb71db7c9.png
"\Sigma _ { - } ( p _ { 3 } , \left| { \bf p } \right| ) = - \frac { 1 } { 4 \pi } \operatorname { l n } \frac { 1 } { 2 m } \left( - \frac { 1 } { 2 } \delta - i p _ { 3 } + \frac { \left| { \bf p } \right| ^ { 2 } } { 2 m } + \Sigma _ { - } ( p _ { 3 } , \left| { \bf p } \right| ) \right) ,",4c5d30a5d8.png
U _ { \pm } ( w ) = : \operatorname { e x p } \{ i k X _ { \pm } ( w ) \} : .,f588da20f6.png
"\alpha ( X ) = \frac { 2 } { 2 ( X ^ { \alpha } X _ { \alpha } ) ^ { 3 } - X ^ { M } X _ { M } } \, .",53696b22cc.png
"\nu _ { n } \, = \, - \, \nu _ { - n } \, = \, \sqrt { ( \pi n ) ^ { 2 } \, + \, \frac { R ^ { 2 } } { \alpha r _ { s } ^ { 2 } } } \, { , } \qquad n \, = \, 1 , 2 , \ldots \, { . }",54dff5268b.png
\phi \left( s { \bf x } \right) = s ^ { - d _ { \phi } } \phi \left( { \bf x } \right),72e6fe4d6b.png
"D ^ { \mu \nu } ( q ; \phi ) \equiv { \frac { - i } { q ^ { 2 } } } \Bigl \{ g ^ { \mu \nu } + i q ^ { \mu } \widetilde \phi ^ { \nu } ( q ) - i { \widetilde \phi ^ { \mu * } } ( q ) q ^ { \nu } + q ^ { \mu } q ^ { \nu } \vert \widetilde \phi ( q ) \vert ^ { 2 } \Bigr \} \ ,",6f6c3fdf76.png
"[ A \, , v \otimes \operatorname { s i n h } h - \operatorname { s i n h } h \otimes v ] = 2 \Phi D \, ,",771559ac2e.png
"x ( \tau ^ { \prime \prime } ) , \quad t ( \tau ^ { \prime \prime } ) , \quad \pi ( \tau ^ { \prime \prime } ) , \quad { \cal C } ( \tau ^ { \prime \prime } ) , \quad { \bar { \cal C } } ( \tau ^ { \prime \prime } ) ,",209c23a970.png
"\tilde { \theta } ~ = ~ \eta ^ { \kappa \lambda } \, \tilde { \theta } _ { \kappa \lambda } ~ ~ .",1e144cf04d.png
"\left\{ \bar { D } _ { a } \, , \bar { D } _ { b } \right\} = 2 i m ^ { 2 } \bar { C } _ { a b } \, .",1552f7bc64.png
k = H _ { 0 } ^ { 2 } R _ { 0 } ^ { 2 } \; ( \sum _ { i } \Omega _ { i } - 1 ) \; .,7b3fe17de2.png
\nu ( N ) \equiv \frac { \operatorname { l o g } \frac { R _ { G } ( N ) } { R _ { G } ( \frac { N } { 2 } ) } } { \operatorname { l o g } ( 2 ) } \ .,760afadc50.png
"K _ { \theta } ( x _ { 1 } , x _ { 2 } , x _ { 3 } ) = \frac { 1 } { \pi ^ { 2 } \theta ^ { 2 } } \, \operatorname { e x p } \left[ - \frac { 2 i } { \theta } \epsilon _ { \alpha \beta } \Bigl ( x _ { 1 } ^ { \alpha } x _ { 2 } ^ { \beta } + x _ { 2 } ^ { \alpha } x _ { 3 } ^ { \beta } + x _ { 3 } ^ { \alpha } x _ { 1 } ^ { \beta } \Bigr ) \right]",13a4ea5048.png
T = \frac { 1 } { 4 } \ F _ { \mu \nu } \mathrm { } ^ { a } F ^ { \mu \nu a } = \frac { 1 } { 2 } \ D _ { \mu } \phi ^ { a } D _ { \nu } \phi ^ { a } + \frac { \lambda } { 4 } \left( \phi ^ { 2 } - v ^ { 2 } \right) ^ { 2 },365f9c83be.png
Q \equiv { \tilde { T } } _ { 4 } = T _ { 3 } + \frac { 1 } { 2 } T _ { 4 },40aa0ade23.png
"\sum _ { \alpha } \sum _ { l = 1 } ^ { n } \int _ { \cal C } \mathrm { d } \mu _ { \cal C } \, | w _ { \alpha } ^ { l } \rangle \langle w _ { \alpha } ^ { l } | ,",b240a67129.png
T _ { D p } = \frac { 1 } { l _ { s } ^ { p + 1 } g _ { s } },2ea26980d9.png
{ \cal \phi } = \frac { \pi } { 2 } - \operatorname { t a n } ^ { - 1 } ( 1 / f ) .,4c37da5384.png
\Sigma ^ { \prime } ( \hat { \bf z } ^ { \prime } ) = \Sigma ( \hat { \bf z } ) + \operatorname { l n } \left| c \tau + d \right| + \frac { c \chi \theta } { c \tau + d } - \frac { c \bar { \chi } \bar { \theta } } { c \bar { \tau } + d } .,3a6952a67a.png
"\left. + \frac 3 2 w ^ { \mu } R + 1 5 \left[ \left( \xi - \frac 1 6 \right) R + m ^ { 2 } \right] w ^ { \mu } \right\} ~ ~ ~ ,",336bbfc45d.png
"\eta ( \frac { d X } { d \omega } , \frac { d X } { d \omega } ) = 1 ,",5f37e3c92b.png
G _ { m n p } = G _ { m } G _ { n } G _ { p } - G _ { m } E _ { n p } - E _ { m n } G _ { p },198c848067.png
"\left[ \, \left( T _ { x } ^ { g } \right) ^ { \vee } \otimes \left( h ^ { * } T _ { x } ^ { g } \right) \, \right] \: \otimes \: \left[ \, \left( T _ { x } ^ { h } \right) ^ { \vee } \otimes \left( g ^ { * } T _ { x } ^ { h } \right) \, \right] ^ { \vee }",22c5613778.png
"\int _ { 0 } ^ { \infty } { \frac { \operatorname { s i n } ( b \, u ) d u } { \mathrm { e } ^ { u } - 1 } } = \sum _ { n = 1 } ^ { \infty } \int _ { 0 } ^ { \infty } \operatorname { s i n } ( b \, u ) \, \mathrm { e } ^ { - n \, u } d u",3126a72d80.png
m ^ { 2 } \phi _ { 0 } ^ { 2 } = \frac { \hbar ^ { 2 } H _ { 0 } ^ { 2 } } { 4 \pi k },7f6dd0874c.png
E ^ { \mu \nu \alpha \beta } = \frac { 1 } { 2 } ( g ^ { \mu \alpha } g ^ { \nu \beta } - g ^ { \mu \beta } g ^ { \nu \alpha } ),648ecd850a.png
"q ^ { 0 } = q ^ { 0 } ( q ^ { 0 } , \phi ^ { \prime } ) = q ^ { 0 } - \frac { S \phi ^ { \prime } } { 2 \pi \alpha }",18857cbe0d.png
h = \frac { 2 \pi ^ { 3 } } { 1 5 } g _ { s } ^ { \prime } l _ { s } ^ { 4 } \sum _ { n = 1 } ^ { N } \frac { Q _ { n } } { | \vec { r } - \vec { r } _ { n } | ^ { 4 } } .,30c0276a49.png
"V _ { T } ( \psi , z ) = V _ { 0 } \left( e ^ { \Delta ( z ) } \psi , z \right) \, ,",99508c4f94.png
"\int d \theta _ { 1 } \cdots d \theta _ { n } f ( x _ { 1 } , \ldots , x _ { k } , \theta _ { 1 } , \ldots , \theta _ { l } )",6eeef96558.png
"\delta ^ { 2 } L = \frac { 1 } { 2 } \int d ^ { 3 } x \delta \phi { \hat { A } } \delta \phi ,",3ff45744e3.png
"F _ { k } ^ { h o m } \sim d ( \frac { e } { r ^ { m } } + . . . ) + d ( g r ^ { m } + . . . ) \; \; , \; \; r \rightarrow 0 \; \; .",47d7563fc9.png
"\sum _ { \mu , \nu } { t r ( X _ { \mu } U _ { \nu } ^ { 0 } X _ { \mu } U _ { \nu } ^ { 0 \dagger } - X _ { \mu } ^ { 2 } + U _ { \mu } ^ { 0 } X _ { \nu } U _ { \mu } ^ { 0 \dagger } X _ { \nu } - X _ { \nu } ^ { 2 } ) \operatorname { c o s } { f _ { \mu \nu } ^ { 0 } } } ,",1e7bc157ea.png
\sum _ { b = 0 } ^ { \infty } ( C U ) _ { a b } V _ { b } ^ { ( \xi ) } = \xi V _ { a } ^ { ( \xi ) } .,b693f44cd9.png
"- i \frac { \partial < G ( p , \tau ) > } { \partial \tau } = ( u p - m ) < G ( p , \tau ) > + \frac { a } { \tau } < G ( p , \tau ) > ,",33040145f3.png
"h _ { i j } d x ^ { i } d x ^ { j } = { \frac { 1 } { 4 } } d s _ { 2 } ^ { 2 } + { \frac { 1 } { 2 } } d s _ { 3 } ^ { 2 } \ ,",be51b66e17.png
"\frac { s ^ { 2 } } { \sigma ^ { 2 } } \, = \, \frac { 1 } { 3 9 2 }",18d6687817.png
"\rho _ { 1 } ( L _ { i _ { 1 } } \cdots L _ { i _ { n } } ) = { \frac { 1 } { n } } \sum _ { ( i _ { 1 } , \ldots , i _ { n } ) } \Bigl ( L _ { i _ { 1 } } \rho _ { 1 } ( L _ { i _ { 2 } } \cdots L _ { i _ { n } } ) + P ( L _ { i _ { 1 } } , L _ { i _ { 2 } } \cdots L _ { i _ { n } } ) \Bigr ) .",6e42dc0283.png
N ^ { ' } { \mid { \cal Q } \mid } ^ { - 2 } e ^ { - i \int d x { \cal J } { { \cal Q } } ^ { - 1 } \bar { { \cal J } } },750091aaee.png
Q = Q ( \gamma ; q ) \equiv \sum _ { n = 0 } ^ { \infty } ( A ^ { \dagger } \gamma ) _ { M _ { 1 } } \ldots ( A ^ { \dagger } \gamma ) _ { M _ { n } } \; q \; A _ { M _ { n } } \ldots A _ { M _ { 1 } },436e2adbfa.png
\vec { v } ^ { \prime } = W ^ { 0 } \left[ \vec { v } + \vec { W } \left( \frac { ( \vec { W } \vec { v } ) } { \left( 1 + \sqrt { 1 + ( \vec { W } ) ^ { 2 } } \right) } - u ^ { 0 } ( \vec { u } \vec { v } ) - 1 \right) \right],11aa93b6c9.png
"\partial _ { q } ^ { n } \circ f = \sum _ { { k \ge 0 } } { \binom { n } { k } } _ { q } ( \eta _ { q } ^ { n - k } ( \partial _ { q } ^ { k } f ) \partial _ { q } ^ { n - k } ,",10048e54f8.png
"q _ { 1 } = { \frac { \sqrt \lambda } { 2 \pi i } } ( \overline { { r _ { 1 } } } - r _ { 1 } ) \ \ \ \mathrm { a n d } \ \ \ p _ { 1 } = { \frac { \sqrt { \lambda } } { 2 } } ( \overline { { r _ { 1 } } } + r _ { 1 } ) \, .",35ad626116.png
"\partial _ { p } ^ { \omega } \, G _ { l , s } ^ { \, \alpha } ( \vec { \alpha } , \vec { \lambda } , p _ { 0 , 1 } + i k _ { 0 , 1 } , \underline { { p } } _ { 1 } , \ldots , p _ { 0 , n - 1 } + i k _ { 0 , n - 1 } , \underline { { p } } _ { n - 1 } )",4e1ec12d2a.png
"\hat { R } _ { k } ( x _ { 1 } , \ldots , x _ { k } ) = \left( - \frac { 1 } { \pi } \right) ^ { k } \int d [ W ] P ( W ) \prod _ { p = 1 } ^ { k } \mathrm { t r } \frac { 1 } { x _ { p } ^ { + } - A }",419fa49073.png
"\Bigl ( { \rho ^ { k } } _ { i } \Bigr ) ^ { + } \, h _ { \bar { k } j } - h _ { \bar { i } \ell } \, \Bigl ( { \rho ^ { \ell } } _ { i } \Bigr ) = 0 \; .",3325e49984.png
"\int _ { 0 } ^ { \infty } d r J _ { 0 } ( q r ) J _ { 0 } ( q ^ { \prime } r ) = \frac 1 { q + q ^ { \prime } } F \left[ \frac 1 { 2 } ; \frac 1 { 2 } ; 1 ; \frac { 4 q q ^ { \prime } } { ( q + q ^ { \prime } ) ^ { 2 } } \right] ,",3aabcbfab3.png
"J _ { a } ^ { e l } ( \xi ) \; = \; \frac { i } { 2 \pi } \, \epsilon _ { a b } \partial ^ { b } \Delta _ { 0 } ^ { - 1 } E \; ,",654fc0df60.png
"S _ { 0 } = \alpha \int d t d \theta d \bar { \theta } \{ ( D x + 1 / 2 x \psi ) ( \bar { D } x - 1 / 2 x \bar { \psi } ) \} ,",446e9d40fa.png
"\delta B _ { k } = u _ { 0 } + u _ { 2 k - 1 } + u _ { 2 k } - [ \Omega _ { k } , ~ u _ { 0 } ] - [ \Omega _ { 2 k - 1 } ^ { \prime } , ~ u _ { 2 k - 1 } ] - [ \Omega _ { 2 k } ^ { \prime \prime } , ~ u _ { 2 k } ] ,",7e26734ec9.png
"F _ { \mu } \equiv { \frac { 1 } { 2 } } \epsilon _ { \mu \alpha \beta } F ^ { \alpha \beta } \, .",597b9aa194.png
{ \bf B } = \lambda v ^ { 3 } { \frac { \bf r } { r ^ { 3 } } },7e79c063e8.png
"\Gamma _ { W Z } [ \bar { g } ; \sigma ] = \Delta _ { \sigma } \circ S _ { a n o m } [ \bar { g } ] = S _ { a n o m } [ g ] - S _ { a n o m } [ \bar { g } ] \, ,",3d78842f4d.png
"\left\langle \vartheta _ { n } \right| V _ { m } \left| \vartheta _ { r } \right\rangle = A _ { m } ( r ) \delta _ { n , m + r } \, , \quad \left\langle n \right| V _ { m } \left| r \right\rangle = B _ { m } ( r - n ) e ^ { \frac { 2 \pi i } { k } m n } \, ,",6e8a5a9d79.png
"\Sigma ( r ) \Big | _ { L _ { \theta } } = \gamma r ^ { 2 } \, , \kern 1 i n \Sigma ( r ) \Big | _ { L _ { \phi } } = \gamma ^ { 3 } r ^ { 2 } \, .",212e1e82fb.png
V ( S ) = ( S + S ^ { * } ) | \partial _ { S } W ( S ) - \frac { 1 } { S + S ^ { * } } W ( S ) | ^ { 2 } - \frac { 3 } { S + S ^ { * } } | W ( S ) | ^ { 2 },746b6018a2.png
"n _ { b u n d l e } = n _ { e } + n _ { o } = { \cal I } + 2 n _ { o } ,",21ba71c6ce.png
"Z _ { \mathrm { R M T } } = \int _ { N \times N \, \mathrm { \scriptsize ~ m a t r i c e s } } \! \! \! \! \! \! \! \! \! \! d \mu ( W ) \ \prod _ { f } \operatorname* { d e t } { \left( \begin{array} { c c } { m _ { f } } & { W ^ { \dagger } } \\ { W } & { m _ { f } } \\ \end{array} \right) } .",21210b74f0.png
\int _ { C } \frac { d \nu \: \nu } { i 4 \sqrt { 2 } \operatorname { s i n } \pi \nu } \left[ J _ { \nu } ( z _ { 1 } ) J _ { - \nu } ( z _ { 2 } ) + J _ { - \nu } ( z _ { 1 } ) J _ { \nu } ( z _ { 2 } ) \right] \; \; \; \; \; \; \; \; \; \; \; \; \; \; \; \; \; \; \; \; \;,11a8eea207.png
D _ { \lambda } \mathrm { \mathrm { } ~ ^ * \! ~ } F _ { \mu \nu } ( x ) + D _ { \mu } \mathrm { \mathrm { } ~ ^ * \! ~ } F _ { \nu \lambda } ( x ) + D _ { \nu } \mathrm { \mathrm { } ~ ^ * \! ~ } F _ { \lambda \mu } ( x ) = 0 .,67188ac21d.png
I _ { k } = \frac { 1 } { 2 } i ( a _ { 0 } \frac { \partial } { \partial a _ { k } } - a _ { k } \frac { \partial } { \partial a _ { 0 } } - \epsilon _ { k l m } a _ { l } \frac { \partial } { \partial a _ { m } } ),1d334c31c0.png
\Delta ( f ^ { - 1 } ) = 2 i \operatorname { s i n } { ( \pi \alpha ) } S g k _ { 0 } ( k _ { 0 } ^ { 2 } ) _ { + } ^ { - \alpha },1555601f80.png
\xi = \frac { g _ { c } } { g } ( 1 - a ^ { 2 } x ),44ceb6205e.png
"I [ x , e _ { 0 } ] = - \int _ { 0 } ^ { 1 } \left[ \frac { \dot { x } ^ { 2 } } { 2 e _ { 0 } } + \frac { e _ { 0 } } { 2 } m ^ { 2 } + g \dot { x } A ( x ) \right] \, d \tau \, ,",175d15fcf3.png
"\Omega _ { n + 1 } \approx { \frac { \mu } { \Lambda } } \; \Omega _ { n } ,",5d9df026ef.png
"( A _ { 1 } x , y ) = ( x , A _ { 2 } y ) \quad \forall x , y \in V",43559c5243.png
"F ( \xi ) = a \xi ^ { 3 } \ \ \ , \ \ \ a > 0 \ \ \ .",20f362eeee.png
\phi ^ { \prime } = \frac { a b } { 2 } \frac { \partial U _ { B } } { \partial \phi } .,1d8312b99f.png
"S O ( 4 , 1 ) - \left\{ I _ { [ \mu \nu ] } , \widetilde { I } _ { \alpha } \right\} \hspace { 0 . 3 i n } G L ( 1 , R ) - \left\{ \widetilde { I } \right\}",4e5dea7be2.png
\frac { \partial } { \partial t } = - \Lambda \frac { \partial } { \partial \Lambda } = p,7722816d50.png
\biggl ( W ^ { g e n } \Gamma \biggr ) ^ { ( \leq 1 ) } - \chi \Delta _ { b r } ^ { ( \leq 1 ) } = \chi \Delta _ { - } ^ { ( 1 ) },5539cbc509.png
"{ \cal I } = - { \frac { 1 } { 2 } } \int _ { 0 } ^ { \infty } d \rho \, \rho ^ { 5 } { \frac { K _ { 1 } ( \rho ) } { I _ { 1 } ( \rho ) } } \approx - 4 . 2 .",5748249836.png
Q ( \eta ) = { \frac { k } { 2 \pi } } \int g _ { a b } \eta ^ { a } A _ { k } ^ { b } d x ^ { k } .,523bd33ea3.png
"{ \bf S } = { \bf u } \times { \bf U } = { \frac { m } { \omega ^ { 2 } } } \; { \frac { d ^ { 2 } { \bf r } } { d t ^ { 2 } } } \times { \frac { d { \bf r } } { d t } } ,",5e8b328ebd.png
e ^ { - I [ J ^ { \mu } ] } = \int D a _ { \mu } e ^ { - ( \int d ^ { 3 } x a _ { \mu } J ^ { \mu } + \tilde { I } [ a _ { \mu } ] ) },44b3a3a551.png
\hat { H } = \hbar \omega \left[ a ^ { \dagger } a + \frac { 1 } { 2 } \right] \ .,2839cf417b.png
"\phi \left( x ^ { 0 } + \tau , { \bf x } \right) = \phi \left( x ^ { 0 } , { \bf x } \right) + \tau \pi \left( x ^ { 0 } , { \bf x } \right) ,",3a844e9ff0.png
F _ { i j } ^ { ( \beta ) a } ~ ~ \equiv ~ ~ \partial _ { [ i } A _ { j ] } ^ { ( \beta ) a } ~ + ~ \epsilon ^ { a b c } ~ A _ { i } ^ { ( \beta ) b } ~ A _ { j } ^ { ( \beta ) c } ~ .,2dcb4e340c.png
"[ G _ { 1 } ^ { ( J ) } ( x ) ] ^ { 2 } Z [ J ] + G _ { 2 } ^ { ( J ) } ( x , x ) Z [ J ] = \langle 0 | \phi ^ { 2 } ( x ) | 0 \rangle .",4aa7487898.png
d s ^ { 2 } = a ^ { 2 } b ^ { 2 } ( d t ^ { 2 } - d y ^ { 2 } ) - a ^ { 2 } \delta _ { i j } d x ^ { i } d x ^ { j } .,6a8f900770.png
\phi _ { k } ( z ) \; = \;,1f58c99ff5.png
"\Phi \left( g _ { 1 } , g _ { 2 } \right) = \Phi \left( g _ { 1 } g , g _ { 2 } g \right)",40440a5f3d.png
"W ^ { S M } = \sum _ { i } \widetilde { W } _ { i } \simeq \sum _ { i } \widetilde { W } _ { i } ^ { V } + U ( \beta ) ~ ~ , ~ ~ \mathrm { R e } D < 0 ~ ~ ~ , ~ ~ ~ \epsilon = 0 ~ ~ ,",659bbe11ec.png
H _ { a } \varphi = h _ { a } \varphi + \sum _ { j = 1 } ^ { m } f _ { \mu _ { j } } \overline { { \varphi } } _ { \mu _ { j } } ^ { a },5f2bc5c50c.png
E _ { 0 } ( K ) = \operatorname* { l i m } _ { N \rightarrow \infty } \frac { < \psi _ { f } ( K ) | H \left( e ^ { - \varepsilon H } \right) ^ { N } | \psi _ { i } ( K ) > } { < \psi _ { f } ( K ) | \left( e ^ { - \varepsilon H } \right) ^ { N } | \psi _ { i } ( K ) > },49e9bc9432.png
"\psi _ { n } = \psi _ { n } ^ { \left( 0 \right) } - T \sum _ { m = - \infty } ^ { \infty } S _ { F } ^ { n - m } \eta _ { m } ,",3e6d066f3b.png
